Tournament,Player,Rank,Wpoints,Start Date,End Date,Series,Wpoints,Fpoints,SFpoints,QFpoints,sixteenpoints,thirtytwopoints,sixtyfourpoints,onehundredtwentyeightpoints,Probability_128,Probability_64,Probability_32,Probability_16,Probability_QF,Probability_SF,Probability_F,Probability_W
ABN AMRO World Tennis Tournament,Cressy M.,40.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
ABN AMRO World Tennis Tournament,Sinner J.,14.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
ABN AMRO World Tennis Tournament,Rune H.,9.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
ABN AMRO World Tennis Tournament,Van De Zandschulp B.,35.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
ABN AMRO World Tennis Tournament,De Minaur A.,25.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
ASB Classic,Lestienne C.,65.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Goffin D.,53.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Brooksby J.,48.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
ASB Classic,Gasquet R.,67.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Wolf J.J.,66.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Barrere G.,88.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Giron M.,60.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Eubanks C.,123.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
ASB Classic,Halys Q.,64.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Lehecka J.,78.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Shelton B.,92.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Djere L.,70.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ASB Classic,Norrie C.,12.0,250,2023-01-08,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Abierto Mexicano,Mmoh M.,86.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Abierto Mexicano,Fritz T.,5.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.99,0.97,0.95,0.92,0.9,0.85,0.8,0.75
Abierto Mexicano,Shapovalov D.,30.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Abierto Mexicano,Rune H.,10.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Abierto Mexicano,Lopez F.,1035.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Abierto Mexicano,Tiafoe F.,15.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Abierto Mexicano,Daniel T.,125.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Abierto Mexicano,Paul T.,23.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Abierto Mexicano,Ruud C.,4.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.99,0.97,0.95,0.92,0.9,0.85,0.8,0.75
Abierto Mexicano,Berrettini M.,24.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Abierto Mexicano,Borges N.,85.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Abierto Mexicano,Ymer E.,170.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Abierto Mexicano,Nakashima B.,49.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Abierto Mexicano,Berrettini J.,842.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Abierto Mexicano,Mcdonald M.,62.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Abierto Mexicano,De Minaur A.,22.0,500,2023-02-28,2023-03-05,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 1,Giron M.,61.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 1,Mcdonald M.,63.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 1,Kecmanovic M.,29.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 1,Nishioka Y.,36.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 1,Popyrin A.,120.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Adelaide International 1,Halys Q.,64.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 1,Safiullin R.,88.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 1,Draper J.,42.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 1,Kokkinakis T.,93.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 1,Medvedev D.,7.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Adelaide International 1,Khachanov K.,20.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Adelaide International 1,Djokovic N.,5.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.99,0.97,0.95,0.92,0.9,0.85,0.8,0.75
Adelaide International 1,Sinner J.,15.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Adelaide International 1,Shapovalov D.,18.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Adelaide International 1,Bautista Agut R.,21.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 1,Korda S.,33.0,250,2023-01-01,2023-01-08,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 2,Mcdonald M.,63.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 2,Draper J.,40.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 2,Kecmanovic M.,28.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 2,Davidovich Fokina A.,32.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 2,Kokkinakis T.,110.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Adelaide International 2,Paul T.,35.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Adelaide International 2,Millman J.,148.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Adelaide International 2,Haase R.,257.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Adelaide International 2,Huesler M.A.,55.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 2,Kwon S.W.,84.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 2,Ymer M.,77.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 2,Kubler J.,86.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Adelaide International 2,Khachanov K.,20.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Adelaide International 2,Bautista Agut R.,26.0,250,2023-01-09,2023-01-14,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Argentina Open,Zapata Miralles B.,74.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Argentina Open,Cachin P.,68.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Argentina Open,Djere L.,57.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Argentina Open,Munar J.,67.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Argentina Open,Carballes Baena R.,76.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Argentina Open,Etcheverry T.,82.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Argentina Open,Ugo Carabelli C.,127.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Argentina Open,Cerundolo F.,30.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Argentina Open,Diaz Acosta F.,191.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Argentina Open,Lajovic D.,90.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Argentina Open,Varillas J. P.,101.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Argentina Open,Thiem D.,99.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Argentina Open,Norrie C.,12.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Argentina Open,Alcaraz C.,2.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.99,0.97,0.95,0.92,0.9,0.85,0.8,0.75
Argentina Open,Musetti L.,20.0,250,2023-02-13,2023-02-19,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Atlanta Open,Vukic A.,82.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Atlanta Open,Harris L.,204.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Atlanta Open,Kokkinakis T.,86.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Atlanta Open,Wolf J.J.,46.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Atlanta Open,Nakashima B.,58.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Atlanta Open,Nishikori K.,439.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Atlanta Open,Humbert U.,38.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Atlanta Open,Wu Y.,89.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Atlanta Open,Koepfer D.,88.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Atlanta Open,Cressy M.,105.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Atlanta Open,Eubanks C.,32.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Atlanta Open,Shang J.,156.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Atlanta Open,De Minaur A.,17.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Atlanta Open,Fritz T.,9.0,250,2023-07-24,2023-07-30,ATP250,250,165,100,50,25,13,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Moutet C.,62.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Watanuki Y.,138.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Australian Open,Van De Zandschulp B.,34.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Etcheverry T.,79.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Sinner J.,16.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Cerundolo F.,29.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Shang J.,194.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Australian Open,Hurkacz H.,11.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Korda S.,31.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Nishioka Y.,33.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Shapovalov D.,22.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Griekspoor T.,63.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Mcdonald M.,65.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Khachanov K.,20.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Tiafoe F.,17.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Nadal R.,2.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.99,0.97,0.95,0.92,0.9,0.85,0.8,0.75
Australian Open,Daniel T.,94.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Sonego L.,47.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Lehecka J.,71.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Kubler J.,84.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Svrcina D.,216.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Australian Open,Millman J.,140.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Australian Open,Eubanks C.,116.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Australian Open,Fucsovics M.,78.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Molcan A.,53.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Hijikata R.,169.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Australian Open,Norrie C.,12.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Auger-Aliassime F.,7.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Tsitsipas S.,4.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.99,0.97,0.95,0.92,0.9,0.85,0.8,0.75
Australian Open,Lestienne C.,55.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Harris L.,186.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Australian Open,Medvedev D.,8.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Rublev A.,6.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Chardy J.,,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Open,Evans D.,30.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Bonzi B.,48.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Dimitrov G.,28.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Djere L.,68.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Schwartzman D.,26.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Jarry N.,154.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
Australian Open,Davidovich Fokina A.,32.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
Australian Open,Carreno Busta P.,15.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Wolf J.J.,67.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
Australian Open,Fritz T.,9.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Rune H.,10.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
Australian Open,Shelton B.,89.0,2000,2023-01-16,2023-01-29,Grand Slam,2000,1300,800,400,200,100,50,10,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
